yolo_input.conv.weights                            backbone.conv0.conv.weight                        
yolo_block.0.2.conv.weights                        neck.yolo_block.0.conv_module.route.conv.weight   
yolo_block.0.2.bn.scale                            neck.yolo_block.0.conv_module.route.batch_norm.weight
yolo_block.0.2.bn.offset                           neck.yolo_block.0.conv_module.route.batch_norm.bias
yolo_block.0.2.bn.mean                             neck.yolo_block.0.conv_module.route.batch_norm._mean
yolo_block.0.2.bn.var                              neck.yolo_block.0.conv_module.route.batch_norm._variance
yolo_block.0.tip.conv.weights                      neck.yolo_block.0.tip.conv.weight                 
yolo_block.0.tip.bn.scale                          neck.yolo_block.0.tip.batch_norm.weight           
yolo_block.0.tip.bn.offset                         neck.yolo_block.0.tip.batch_norm.bias             
yolo_block.0.tip.bn.mean                           neck.yolo_block.0.tip.batch_norm._mean            
yolo_block.0.tip.bn.var                            neck.yolo_block.0.tip.batch_norm._variance        
yolo_output.0.conv.weights                         yolo_head.yolo_output.0.weight                    
yolo_output.0.conv.bias                            yolo_head.yolo_output.0.bias                      
yolo_transition.0.conv.weights                     neck.yolo_transition.0.conv.weight                
yolo_transition.0.bn.scale                         neck.yolo_transition.0.batch_norm.weight          
yolo_transition.0.bn.offset                        neck.yolo_transition.0.batch_norm.bias            
yolo_transition.0.bn.mean                          neck.yolo_transition.0.batch_norm._mean           
yolo_transition.0.bn.var                           neck.yolo_transition.0.batch_norm._variance       
yolo_block.1.0.0.conv.weights                      neck.yolo_block.1.conv_module.conv0.conv.weight   
yolo_block.1.0.0.bn.scale                          neck.yolo_block.1.conv_module.conv0.batch_norm.weight
yolo_block.1.0.0.bn.offset                         neck.yolo_block.1.conv_module.conv0.batch_norm.bias
yolo_block.1.0.0.bn.mean                           neck.yolo_block.1.conv_module.conv0.batch_norm._mean
yolo_block.1.0.0.bn.var                            neck.yolo_block.1.conv_module.conv0.batch_norm._variance
yolo_block.1.0.1.conv.weights                      neck.yolo_block.1.conv_module.conv1.conv.weight   
yolo_block.1.0.1.bn.scale                          neck.yolo_block.1.conv_module.conv1.batch_norm.weight
yolo_block.1.0.1.bn.offset                         neck.yolo_block.1.conv_module.conv1.batch_norm.bias
yolo_block.1.0.1.bn.mean                           neck.yolo_block.1.conv_module.conv1.batch_norm._mean
yolo_block.1.0.1.bn.var                            neck.yolo_block.1.conv_module.conv1.batch_norm._variance
yolo_block.1.1.0.conv.weights                      neck.yolo_block.1.conv_module.conv2.conv.weight   
yolo_block.1.1.0.bn.scale                          neck.yolo_block.1.conv_module.conv2.batch_norm.weight
yolo_block.1.1.0.bn.offset                         neck.yolo_block.1.conv_module.conv2.batch_norm.bias
yolo_block.1.1.0.bn.mean                           neck.yolo_block.1.conv_module.conv2.batch_norm._mean
